iter	Passed	Remaining
746	20256	6860
747	20288	6835
748	20319	6809
749	20349	6783
750	20376	6755
751	20406	6729
752	20434	6702
753	20464	6676
754	20495	6650
755	20529	6625
756	20570	6603
757	20603	6577
758	20633	6551
759	20658	6523
760	20685	6496
761	20718	6471
762	20747	6444
763	20773	6416
764	20799	6389
765	20827	6362
766	20853	6335
767	20878	6307
768	20908	6280
769	20936	6253
770	20961	6225
771	20988	6198
772	21016	6171
773	21040	6143
774	21065	6115
775	21090	6087
776	21115	6060
777	21138	6031
778	21166	6004
779	21199	5979
780	21227	5952
781	21254	5925
782	21283	5898
783	21313	5872
784	21341	5845
785	21368	5818
786	21395	5790
787	21425	5764
788	21452	5736
789	21477	5709
790	21508	5682
791	21533	5655
792	21561	5628
793	21590	5601
794	21617	5574
795	21643	5546
796	21669	5519
797	21697	5492
798	21719	5463
799	21744	5436
800	21769	5408
801	21794	5380
802	21818	5352
803	21847	5326
804	21870	5297
805	21897	5270
806	21924	5243
807	21947	5215
808	21990	5191
809	22015	5164
810	22044	5137
811	22067	5109
812	22091	5081
813	22112	5052
814	22139	5025
815	22166	4998
816	22191	4970
817	22217	4943
818	22243	4915
819	22267	4887
820	22295	4860
821	22320	4833
822	22352	4807
823	22378	4779
824	22403	4752
825	22433	4725
826	22464	4699
827	22493	4672
828	22518	4644
829	22545	4617
830	22570	4590
831	22599	4563
832	22624	4535
833	22652	4508
834	22679	4481
835	22703	4453
836	22727	4425
837	22752	4398
838	22777	4370
839	22801	4343
840	22827	4315
841	22853	4288
842	22882	4261
843	22905	4233
844	22928	4205
845	22954	4178
846	22981	4151
847	23008	4124
848	23032	4096
849	23059	4069
850	23083	4041
851	23111	4014
852	23134	3986
853	23161	3959
854	23183	3931
855	23209	3904
856	23237	3877
857	23263	3850
858	23291	3823
859	23315	3795
860	23349	3769
861	23375	3742
862	23405	3715
863	23428	3687
864	23455	3660
865	23482	3633
866	23508	3606
867	23539	3579
868	23569	3553
869	23598	3526
870	23623	3498
871	23653	3472
872	23677	3444
873	23702	3417
874	23726	3389
875	23750	3361
876	23782	3335
877	23808	3308
878	23830	3280
879	23854	3252
880	23877	3225
881	23902	3197
882	23930	3170
883	23957	3143
884	23985	3116
885	24014	3089
886	24044	3063
887	24072	3036
888	24100	3009
889	24124	2981
890	24152	2954
891	24181	2927
892	24210	2900
893	24238	2873
894	24267	2846
895	24294	2819
896	24318	2792
897	24342	2764
898	24365	2737
899	24390	2710
900	24414	2682
901	24443	2655
902	24470	2628
903	24497	2601
904	24521	2574
905	24549	2547
906	24578	2520
907	24607	2493
908	24641	2466
909	24668	2439
910	24691	2412
911	24718	2385
912	24743	2357
913	24770	2330
914	24796	2303
915	24821	2276
916	24846	2248
917	24871	2221
918	24898	2194
919	24919	2166
920	24943	2139
921	24968	2112
922	24993	2085
923	25018	2057
924	25046	2030
925	25076	2003
926	25100	1976
927	25126	1949
928	25152	1922
929	25176	1894
930	25202	1867
931	25228	1840
932	25254	1813
933	25282	1786
934	25309	1759
935	25336	1732
936	25359	1705
937	25389	1678
938	25415	1651
939	25444	1624
940	25478	1597
941	25517	1571
942	25548	1544
943	25575	1517
944	25603	1490
945	25633	1463
946	25665	1436
947	25697	1409
948	25732	1382
949	25762	1355
950	25795	1329
951	25835	1302
952	25859	1275
953	25893	1248
954	25922	1221
955	25962	1194
956	25995	1168
957	26031	1141
958	26064	1114
959	26091	1087
960	26126	1060
961	26153	1033
962	26187	1006
963	26315	982
964	26361	956
965	26389	928
966	26424	901
967	26461	874
968	26493	847
969	26522	820
970	26552	793
971	26582	765
972	26611	738
973	26644	711
974	26672	683
975	26697	656
976	26721	629
977	26747	601
978	26770	574
979	26793	546
980	26817	519
981	26840	491
982	26867	464
983	26892	437
984	26914	409
985	26937	382
986	26963	355
987	26992	327
988	27022	300
989	27048	273
990	27077	245
991	27105	218
992	27133	191
993	27162	163
994	27192	136
995	27217	109
996	27240	81
997	27266	54
998	27296	27
999	27321	0
